operation,precondition,-----,etc--,etcs-,etc-u,etcsu,et-s-,et--u,et-su,e---u
OpError,op-specific refusal (e.g. edit SEARCH-not-found) with no disk change,,,,,,,,,
N/A,token undefined for this state; cell not constructible,,,,,,,,,
SKIP:X,duplicate of precondition X for this state (token resolves equal),,,,,,,,,
,,,,,,,,,,
PRECONDITION KINDS (harness::PreconditionKind),,,,,,,,,,
Blind,no precondition (was force=true / UNSET); last-writer-wins,,,,,,,,,
Absent,ExpectAbsent — create-only (was force=false / UNSET on a replace op),,,,,,,,,
Exists,ExpectExists — in-place default; content-agnostic; dirty-gated,,,,,,,,,
Head,ExpectBlob(HEAD_OID); defined iff committed,,,,,,,,,
Index,ExpectBlob(INDEX_OID); defined iff staged,,,,,,,,,
Workdir,ExpectBlob(WORKDIR_OID); defined iff exists,,,,,,,,,
Wrong,ExpectBlob(bogus oid); never matches the working tree,,,,,,,,,
,,,,,,,,,,
RULE,precondition checked against the WORKING TREE; a dirty tree is refused unless the caller proved current bytes (Workdir) or went Blind,,,,,,,,,
